Group,Product,2014-15 QTY,2014-15  VAL,2015-16 QTY ,2015-16  VAL ,2016-17 QTY ,2016-17  VAL ,2017-18 QTY ,2017-18  VAL ,2018-19 QTY ,2018-19  VAL ,2019-20 QTY ,2019-20  VAL ,2020-21 QTY ,2020-21  VAL ,2021-22 QTY ,2021-22  VAL 
Alkali Chemicals,Soda Ash,725517,112616,633263,101707,695307,102490,772622,111757,840591,144900,847704,152515,719731,114804,563140,97002
Alkali Chemicals,Caustic Soda,407981,93584,484133,116303,425795,112391,421298,153382,208267,79927,309345,87982,248057,55495,203275,77347
Alkali Chemicals,Liquid Chlorine,648,274,482,189,35,170,58,208,266,696,81,255,39,200,149,383
Inorganic Chemicals,Aluminium Fluoride,30120,20259,27258,18102,46564,26437,49758,29075,62374,56075,40362,37910,61224,48059,74347,52878
Inorganic Chemicals,Calcium Carbide,78332,31525,61935,25429,55692,23652,55651,23941,45321,21554,31218,14507,32666,17749,22008,15761
Inorganic Chemicals,Carbon Black,139468,108915,124059,83401,128740,82424,186224,143618,278531,249368,197491,153367,190469,127583,156331,155878
Inorganic Chemicals,Potassium Chlorate,6147,3856,3160,2026,100,61,29,22,128,272,55,119,909,884,0,9
Inorganic Chemicals,Sodium Chlorate,21818,9085,17298,6400,7447,2907,8822,3041,14240,5884,24082,11254,11589,5118,16655,6822
Inorganic Chemicals,Titanium Dioxide,17574,28243,16421,25709,13901,22943,13701,24771,14546,28686,16416,30825,13389,25107,15134,36230
Inorganic Chemicals,Red Phosphorus,36,98,0,0,0,1,0,3,14,51,18,57,4,18,0,1
Inorganic Chemicals,Hydrogen Peroxide,56276,14311,44084,11211,57068,15910,68474,19305,84261,36931,52727,15858,22355,8150,33475,11293
Inorganic Chemicals,Calcium Carbonate,562198,51581,715606,65090,700559,60902,846195,64587,1080252,86942,1169457,90705,855385,69433,1027322,103502
Organic Chemicals,Acetic Acid,712384,234821,792775,206305,847808,193958,884515,290624,937298,422360,926492,273709,904345,275694,1054823,778838
Organic Chemicals,Acetic Anhydride,2689,1538,2918,1780,2272,1118,4381,2346,12275,9700,20529,11716,18807,10479,20896,22339
Organic Chemicals,Acetone,126832,82658,138402,55796,135887,63055,146878,74975,116760,52108,72402,28094,82056,53673,118656,82777
Organic Chemicals,Phenol,200115,183502,248769,147715,282187,176601,288572,202842,231808,217710,144005,99070,170993,89789,206208,210164
Organic Chemicals,Methanol,1641624,319399,1711879,285259,1637457,295762,1783293,400004,1986712,519474,2286274,425567,2219944,434805,2397912,743153
Organic Chemicals,Formaldehyde,412,225,66,42,84,248,46,44,22,13,5,111,6,148,8,194
Organic Chemicals,Nitrobenzene,1208,802,5838,2733,14429,6944,15384,8207,18204,10721,15533,8073,9866,5008,7816,6361
Organic Chemicals,Citric Acid,67369,33345,75978,36119,81681,39558,84262,45489,95283,45136,90958,38453,94966,47550,99929,100565
Organic Chemicals,Maleic Anhydride,38388,35773,47399,31392,50813,34618,52627,42928,69920,61694,66942,46858,59533,46705,74467,107691
Organic Chemicals,Pentaerythritol,13681,14646,19486,21468,19380,20690,17963,19614,18407,23000,21311,23116,13613,13022,16340,25537
Organic Chemicals,Aniline,36095,36876,38341,26965,44650,29368,65416,58924,88454,81524,80946,53293,72770,47402,92072,113186
Organic Chemicals,Chloro Methanes,113,289,608,364,258,223,519,429,1413,1089,2404,2122,2469,2111,1905,2163
Organic Chemicals,Isobutylbenzene,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Organic Chemicals,Oncb,395,410,237,192,839,628,0,0,0,0,0,0,0,0,0,0
Organic Chemicals,Pncb,3838,2301,8408,3886,6095,2899,0,0,0,0,0,0,0,0,0,0
Organic Chemicals,Mek,27539,25599,40883,26950,30901,16629,45331,36027,47158,40994,25509,19145,42542,33013,42363,44585
Organic Chemicals,Acetaldehyde,53,176,74,299,130,357,81,243,94,275,113,375,82,568,150,497
Organic Chemicals,Ethanolamines,11286,17183,10072,10321,11662,10202,16101,16140,16648,19347,16694,16398,19070,17807,18605,24326
Organic Chemicals,Ethyl Acetate,201,453,290,909,1664,861,43,127,2917,2358,2157,1768,141,1697,3778,5336
Organic Chemicals,Menthol,507,4307,936,7112,1511,10211,1372,8573,1334,12718,3057,30181,4521,45226,4056,40528
Organic Chemicals,Ortho Nitro Toluene,1086,1053,117,77,579,436,267,212,74,57,0,0,0,0,0,0
Pesticides & Insecticides,Dimethoate,0,0,0,0,0,0,0,0,0,0,0,0,63,326,153,723
Pesticides & Insecticides,D.D.V.P.,20,36,64,116,16,28,35,66,1561,3167,0,0,0,0,0,0
Pesticides & Insecticides,Quinalphos,0,0,0,0,0,0,0,0,0,0,15,81,0,0,0,0
Pesticides & Insecticides,Cypermethrin,0,0,0,0,0,0,8,47,5,53,93,849,6,57,3,45
Pesticides & Insecticides,Fenthion,50,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pesticides & Insecticides,Other Pesticides,2007,12072,1318,12700,1176,91641,1907,139991,1868,163792,4534,131268,5453,216253,1443,143124
Pesticides & Insecticides,Other Insecticides,19369,205845,15634,213829,18067,208838,17307,239549,17188,240036,13525,268040,16512,343526,16376,385766
Pesticides & Insecticides,Copper-Oxychloride,0,0,0,0,0,1,0,1,0,2,0,0,0,0,40,138
Pesticides & Insecticides,"2, 4-D",34,77,72,123,16,27,1824,2735,2819,5935,2382,4311,2412,3657,601,2315
Pesticides & Insecticides,Isoproturon,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
Pesticides & Insecticides,Aluminium Phosphide,3,54,6,98,0,0,0,0,5,39,1,27,7,40,0,1
Pesticides & Insecticides,Methyl Bromide,269,1150,53,250,24,70,18,107,2,14,28,141,12,63,30,170
Pesticides & Insecticides,Other Herbicides-Anti Sprouting Products,12294,86257,10171,85167,16149,104626,15248,100387,18044,122207,14232,104807,30307,189422,24959,213811
Pesticides & Insecticides,Other Fungicide Nes,6628,68323,6550,78424,7143,85350,7798,98502,7738,97341,7770,101554,11418,145713,16117,226512
Dyes & Dyestuff,Azo Dyes,1114,5148,716,4016,630,3509,514,3734,437,4207,306,4096,298,3880,408,4775
Dyes & Dyestuff,Acid Direct Dyes(Other Than Azo),436,2036,312,1685,188,1348,248,1942,322,2639,133,1295,163,1073,125,1548
Dyes & Dyestuff,Basic Dyes,724,5266,475,4135,560,4183,647,5445,487,6868,529,8213,735,9836,636,8916
Dyes & Dyestuff,Disperse Dyes,4671,26330,6199,28647,4970,23618,4051,23972,1731,19295,2322,23128,2314,20496,2266,20665
Dyes & Dyestuff,Fast Colour Bases,327,2864,510,3058,426,2314,379,2113,169,1743,265,2149,260,2414,45,773
Dyes & Dyestuff,Oil Soluble (Solvent Dyes),782,6414,689,5967,762,5446,846,6414,710,7812,590,6250,525,6140,894,14411
Dyes & Dyestuff,Optical Whitening Agents,565,4442,664,5376,612,5455,593,5540,565,6978,738,8746,588,6492,742,8961
Dyes & Dyestuff,Organic Pigment,142,575,190,889,100,678,65,271,138,471,98,272,107,646,93,444
Dyes & Dyestuff,Pigment Emulsion,6663,48423,6578,47122,7085,47759,8261,52679,7985,57272,7303,54365,6443,53389,7080,65345
Dyes & Dyestuff,Reactive Dyes,3146,26556,3148,27009,3460,28744,3340,24642,3117,26440,3661,27931,2962,21959,3461,28663
Dyes & Dyestuff,Sulphur Dyes (Sulphur Black),1151,2537,1332,2636,1283,2638,1252,2916,1116,3286,1041,3128,1337,3294,1810,5523
Dyes & Dyestuff,Vat Dyes,17449,43388,20580,48846,23527,53539,26368,59134,21571,77638,16400,63470,13310,40263,20402,89474
Dyes & Dyestuff,Solubilised Vat Dyes,82,252,473,1007,337,756,319,764,358,1289,170,810,108,463,22,261
Dyes & Dyestuff,Food Colours,653,3872,1083,5225,1041,4859,1162,5057,1364,6747,1215,6695,375,6268,449,6638
Dyes & Dyestuff,Napthols,1024,3896,1051,3824,1107,3750,1286,4446,1255,5267,1374,6559,1465,5757,1355,8239
Dyes & Dyestuff,Other Dyes,271,1868,177,1531,183,1533,512,2239,2337,7151,2265,7188,2332,7239,2439,8260
Dyes & Dyestuff,Inorganic Pigments,12735,30874,10514,28331,9597,24784,13128,30075,12790,43319,12173,57140,12017,63057,11430,53765
Total Import Of Major Chemicals,Total Import Of Major Chemicals,5024539,2058494,5359734,1931262,5399954,2060148,5936999,2594226,6379257,3142576,6557452,2565920,5983070,2749020,6385199,4164612
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
