Category,Sub-Category,Groups,Products,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Acrylic Fibre,89625,105872,95390,90970,99454,102904,77016,66683
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polyester Staple Fibrefill,57295,51052,53653,51328,52993,49888,40296,39041
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Nylon Filament Yarn,32449,37251,40906,40008,46615,48290,33270,46189
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Nylon Industrial Yarn/Tyre Cord,100524,94866,103559,107585,109545,99749,90289,115474
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polyester Filament Yarn,2178749,2179003,2200908,2283406,2316430,2520331,1997927,2560793
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polyester Staple Fibre,1021245,1039648,1056002,1005300,931440,1027492,909382,1160484
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polypropylene Filament Yarn,5140,3467,3394,3146,2356,2516,2168,2805
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polypropylene Staple Fibre,25423,27040,24559,22240,20744,18815,15336,21246
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Polyster Industrial Yarn,16579,15377,16326,15037,14826,14730,12361,14387
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Fibres / Yarn,Elastomeric/Spandex Filament Yarn,4948,4811,4700,6175,7077,8063,6600,12904
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Low Density Polyethylene,184402,200032,201762,185657,193051,613287,616613,583038
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,High Density Polythylene,1155794,1317151,1520037,1578378,1597676,1897566,1910043,1915766
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Polyestyrene,281169,308576,311345,301578,292857,291720,217447,247944
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Polypropylene (Inc. Co-Polymer),3614818,4284424,4253392,4350198,4779021,4982815,4919100,5240698
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Expandable Polyestyrene,80684,86197,96772,103914,108266,110683,87387,97220
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Poly Vinyl Chloride,1330443,1437889,1461527,1466083,1488404,1513592,1434119,1471868
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Polymers,Linear Low Density Polythylene,910257,1204568,1318263,1290046,1581224,2994026,2958915,2914119
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Rubber,Styrene Butadiene Rubber,57247,124798,167334,193971,228641,227829,212909,237471
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Rubber,Poly Butadiene Rubber,107535,113928,117092,113634,122226,130251,128547,132821
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Rubber,Ethyl Vinyl Acetate,6423,2410,0,0,0,0,0,0
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic Rubber,Nitrile Butadiene Rubber,380,394,354,50,0,0,11881,12340
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic  Detergent Intermediates,Linear Alkyl Benzene,410540,377200,447645,451525,454822,413502,457072,462302
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Synthetic  Detergent Intermediates,Ethylene Oxide,185316,188309,216063,291296,232336,301181,279365,318086
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Abs Resin,107284,117005,117773,145232,148181,136464,121939,122783
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Nylon-6,19495,20216,20374,19473,20502,40844,55385,68332
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Polymethyl Methacrylate,1047,1468,285,20,0,0,0,0
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Styrene Acrylonitrile,88774,98681,99239,114687,131758,133785,118613,121747
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,"Nylon 6,6",1251,1225,1168,1082,1022,728,0,0
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Polyester Chips/Pet Chips,1361975,1452932,1548704,1424595,1271087,1344698,1208990,1365925
A. Basic Major Petrochemicals,Basic Major Petrochimicals,Performance Plastics,Polytetrafluoroethylene(Ptfe),11352,8747,11728,13723,16236,15109,14638,18897
Total Basic Major Petrochimicals (A),Total Basic Major Petrochimicals (A),Total Basic Major Petrochimicals (A),Total Basic Major Petrochimicals (A),13448163,14904537,15510254,15670337,16268790,19040858,17937608,19371363
B. Other Petrochemicals,Intermediates,Fibre Intermediates,Acrylonitrile,33696,1936,0,0,0,0,0,0
B. Other Petrochemicals,Intermediates,Fibre Intermediates,Caprolactum,87050,86297,86961,85965,92561,84062,80405,108166
B. Other Petrochemicals,Intermediates,Fibre Intermediates,Mono Ehylene Glycol,1001139,1158968,1110497,1132654,1159759,2007778,1981983,1990162
B. Other Petrochemicals,Intermediates,Fibre Intermediates,Purified Terephthalic Acid,3755279,3431778,3390556,3492438,3404929,3267071,2996760,3383342
B. Other Petrochemicals,Intermediates,Building Blocks- Olefins,Butadiene,239445,343450,347355,332376,385759,481014,458799,477402
B. Other Petrochemicals,Intermediates,Building Blocks- Olefins,Ethylene,3191897,3727394,4021732,4222683,3831890,6466753,6364888,6414520
B. Other Petrochemicals,Intermediates,Building Blocks- Olefins,Propylene,3869402,4456688,4425207,4457906,4639531,4887618,5215758,5635102
B. Other Petrochemicals,Intermediates,Building Blocks- Aromatics,Benzene,1094376,1332591,1332042,1318031,1414563,1346237,1407866,1427550
B. Other Petrochemicals,Intermediates,Building Blocks- Aromatics,Mixed Xylene,215002,269353,296033,271352,249050,269626,146683,160867
B. Other Petrochemicals,Intermediates,Building Blocks- Aromatics,Ortho-Xylene,462464,499512,444878,447755,406302,386391,522116,511150
B. Other Petrochemicals,Intermediates,Building Blocks- Aromatics,Toluene,108158,115736,126760,106941,141139,140160,113985,115656
B. Other Petrochemicals,Intermediates,Building Blocks- Aromatics,Paraxylene,2757843,3266355,3161302,3194520,3331811,2782330,2614213,2461944
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Diethylene Glycol,100964,114241,108241,105698,107407,167735,172326,173713
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Diacetone Alcohol,0,0,0,208,4072,6042,2927,5660
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Ethylene Dichloride,285298,277350,282569,282347,339204,345294,326242,366955
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Butanol,4203,11080,12465,17388,21693,16440,20285,38286
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,2-Ethyl Hexanol,13891,44411,45593,56641,58892,48748,49672,91261
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Vinyl Chloride Monomer,717881,790705,791257,777979,803618,874468,799219,813082
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Pbt,503,501,606,577,1292,6245,6086,7546
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Polycarbonate,164,169,154,88,115,107,0,0
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Propylene Oxide,36610,25590,29338,35996,35122,34563,44416,49923
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Propylene Glycol,16248,13649,16345,17639,19129,19508,19705,20543
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Polyvinyl Acetate Resin,0,0,0,0,0,0,2961,7345
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Unsaturated Polyster Resin,0,0,0,0,0,16435,12879,16547
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Methyl Methacrylate,3473,2281,540,2829,3994,1707,0,0
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Iso-Butanol,671,1857,1963,2228,2206,1712,2071,3969
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,C4-Raffinate,364609,428641,437171,339202,380257,413331,433417,444565
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Phthalic Anhydride,291524,305775,296071,290011,275068,269641,292964,339617
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Isopropanol,74983,71177,72468,71833,58266,60505,55314,65127
B. Other Petrochemicals,Other Petro-Based Chemicals,Other Petro-Based Chemicals,Polyol,51784,71797,78719,79433,82129,81752,77831,87154
Total Other Petrochemicals (B),Total Other Petrochemicals (B),Total Other Petrochemicals (B),Total Other Petrochemicals (B),18778557,20849282,20916823,21142718,21249758,24483273,24221771,25217154
Total Petrochemicals (A+B),Total Petrochemicals (A+B),Total Petrochemicals (A+B),Total Petrochemicals (A+B),32226720,35753819,36427077,36813055,37518548,43524131,42159379,44588517
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
